<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.05.09	12:00:00	1.05077	1.05732	1.05050	1.05624	25997	0	0
2022.05.09	16:00:00	1.05624	1.05925	1.05168	1.05735	34007	0	0
2022.05.09	20:00:00	1.05734	1.05755	1.05508	1.05570	19296	0	0
2022.05.10	00:00:00	1.05570	1.05690	1.05510	1.05588	8844	0	0
2022.05.10	04:00:00	1.05589	1.05810	1.05553	1.05757	17026	0	0
2022.05.10	08:00:00	1.05758	1.05851	1.05512	1.05723	24464	0	0
2022.05.10	12:00:00	1.05721	1.05755	1.05359	1.05511	22594	0	0
2022.05.10	16:00:00	1.05512	1.05747	1.05257	1.05339	37161	0	0
2022.05.10	20:00:00	1.05338	1.05413	1.05267	1.05281	16958	0	0
2022.05.11	00:00:00	1.05281	1.05369	1.05240	1.05315	5395	0	0
2022.05.11	04:00:00	1.05315	1.05432	1.05256	1.05411	9875	0	0
2022.05.11	08:00:00	1.05415	1.05743	1.05371	1.05677	20075	0	0
2022.05.11	12:00:00	1.05677	1.05757	1.05017	1.05210	28030	0	0
2022.05.11	16:00:00	1.05216	1.05770	1.05176	1.05306	47750	0	0
2022.05.11	20:00:00	1.05308	1.05356	1.05092	1.05092	23272	0	0
2022.05.12	00:00:00	1.05092	1.05284	1.05076	1.05242	7764	0	0
2022.05.12	04:00:00	1.05242	1.05291	1.05121	1.05189	12561	0	0
2022.05.12	08:00:00	1.05189	1.05210	1.04402	1.04407	32137	0	0
2022.05.12	12:00:00	1.04407	1.04465	1.03885	1.04168	29189	0	0
2022.05.12	16:00:00	1.04167	1.04262	1.03546	1.03594	38877	0	0
2022.05.12	20:00:00	1.03594	1.03822	1.03540	1.03779	18875	0	0
2022.05.13	00:00:00	1.03779	1.03842	1.03731	1.03797	6204	0	0
2022.05.13	04:00:00	1.03796	1.03980	1.03739	1.03972	10687	0	0
2022.05.13	08:00:00	1.03970	1.04196	1.03837	1.04079	23551	0	0
2022.05.13	12:00:00	1.04079	1.04088	1.03709	1.03765	20385	0	0
2022.05.13	16:00:00	1.03765	1.04161	1.03494	1.04091	26886	0	0
2022.05.13	20:00:00	1.04090	1.04161	1.03938	1.04077	10133	0	0
2022.05.16	00:00:00	1.03959	1.04126	1.03943	1.04097	6601	0	0
2022.05.16	04:00:00	1.04097	1.04167	1.03887	1.04003	13453	0	0
2022.05.16	08:00:00	1.04005	1.04344	1.03947	1.04328	17623	0	0
2022.05.16	12:00:00	1.04328	1.04381	1.04127	1.04228	14234	0	0
2022.05.16	16:00:00	1.04228	1.04331	1.03900	1.04249	20483	0	0
2022.05.16	20:00:00	1.04249	1.04430	1.04180	1.04311	9076	0	0
2022.05.17	00:00:00	1.04310	1.04539	1.04276	1.04461	5865	0	0
2022.05.17	04:00:00	1.04461	1.04498	1.04319	1.04406	8063	0	0
2022.05.17	08:00:00	1.04406	1.04921	1.04405	1.04905	17105	0	0
2022.05.17	12:00:00	1.04906	1.05560	1.04686	1.05434	23757	0	0
2022.05.17	16:00:00	1.05433	1.05508	1.05253	1.05441	19820	0	0
2022.05.17	20:00:00	1.05441	1.05550	1.05210	1.05465	21377	0	0
2022.05.18	00:00:00	1.05465	1.05639	1.05433	1.05552	5661	0	0
2022.05.18	04:00:00	1.05552	1.05575	1.05247	1.05304	8824	0	0
2022.05.18	08:00:00	1.05306	1.05409	1.04946	1.05095	17894	0	0
2022.05.18	12:00:00	1.05095	1.05291	1.05049	1.05211	15920	0	0
2022.05.18	16:00:00	1.05211	1.05418	1.04826	1.04884	25366	0	0
2022.05.18	20:00:00	1.04881	1.04883	1.04599	1.04609	14262	0	0
2022.05.19	00:00:00	1.04609	1.05001	1.04590	1.04857	8518	0	0
2022.05.19	04:00:00	1.04857	1.05067	1.04789	1.04967	10505	0	0
2022.05.19	08:00:00	1.04967	1.05091	1.04648	1.04952	20433	0	0
2022.05.19	12:00:00	1.04951	1.05450	1.04874	1.05369	23700	0	0
2022.05.19	16:00:00	1.05371	1.05988	1.05369	1.05943	35713	0	0
2022.05.19	20:00:00	1.05943	1.06073	1.05807	1.05854	16462	0	0
2022.05.20	00:00:00	1.05816	1.05866	1.05679	1.05764	5571	0	0
2022.05.20	04:00:00	1.05766	1.05814	1.05547	1.05738	9903	0	0
2022.05.20	08:00:00	1.05740	1.05935	1.05542	1.05754	20334	0	0
2022.05.20	12:00:00	1.05752	1.05990	1.05609	1.05637	15846	0	0
2022.05.20	16:00:00	1.05637	1.05712	1.05397	1.05504	26354	0	0
2022.05.20	20:00:00	1.05504	1.05671	1.05328	1.05582	15692	0	0
2022.05.23	00:00:00	1.05601	1.05907	1.05561	1.05826	7089	0	0
2022.05.23	04:00:00	1.05825	1.05946	1.05796	1.05908	7619	0	0
2022.05.23	08:00:00	1.05909	1.06485	1.05883	1.06447	21508	0	0
2022.05.23	12:00:00	1.06455	1.06874	1.06447	1.06494	20637	0	0
2022.05.23	16:00:00	1.06493	1.06910	1.06443	1.06772	21999	0	0
